building,appliance,appliance_phase,main_phase,corr,is_best_corr
building_08,washing_machine,phase_1_washing_machine,phase_3_main,-0.011310320037620428,False
building_08,freezer,phase_1_freezer,phase_3_main,0.001032212440387187,False
building_08,freezer,phase_1_freezer,phase_1_main,0.11945914425549563,True
building_08,tumble_dryer,phase_1_tumble_dryer,phase_3_main,0.3115117730599158,True
building_08,tumble_dryer,phase_1_tumble_dryer,phase_2_main,0.00133361640872212,False
building_08,washing_machine,phase_1_washing_machine,phase_2_main,0.0036943193903523786,False
building_08,washing_machine,phase_1_washing_machine,phase_1_main,0.389311153969948,True
building_08,tumble_dryer,phase_1_tumble_dryer,phase_1_main,0.012339473320164307,False
building_08,fridge,phase_1_fridge,phase_3_main,-0.0010817799265872845,False
building_08,fridge,phase_1_fridge,phase_2_main,-0.0018717519937164117,False
building_08,fridge,phase_1_fridge,phase_1_main,0.17718835541890596,True
building_09,fridge,phase_1_fridge,phase_2_main,0.006552997047713273,True
building_09,freezer,phase_1_freezer,phase_2_main,-0.00011550217949944385,False
building_09,fridge,phase_1_fridge,phase_1_main,-0.0009074952373499888,False
building_09,freezer,phase_1_freezer,phase_3_main,0.0009266409069747574,False
building_09,freezer,phase_1_freezer,phase_1_main,0.12963535859627784,True
building_09,fridge,phase_1_fridge,phase_3_main,-0.00040147735110842675,False
building_10,freezer,phase_1_freezer,phase_3_main,-0.010377621651583005,False
building_10,tumble_dryer,phase_1_tumble_dryer,phase_1_main,0.0013038049308202895,False
building_10,tumble_dryer,phase_1_tumble_dryer,phase_3_main,8.7940977248941e-05,False
building_10,freezer,phase_1_freezer,phase_2_main,0.20942103877064755,True
building_10,freezer,phase_1_freezer,phase_1_main,-0.0025013183292293584,False
building_10,fridge,phase_1_fridge,phase_3_main,0.001685528331420617,False
building_10,fridge,phase_1_fridge,phase_2_main,0.16782590513144025,True
building_10,tumble_dryer,phase_1_tumble_dryer,phase_2_main,0.07423202148919981,True
building_10,washing_machine,phase_1_washing_machine,phase_1_main,0.0018955470054807036,False
building_10,fridge,phase_1_fridge,phase_1_main,-0.0002397414976715429,False
building_10,washing_machine,phase_1_washing_machine,phase_3_main,0.3684689508122035,True
building_10,washing_machine,phase_1_washing_machine,phase_2_main,-0.005776214678131692,False
building_11,freezer,phase_1_freezer,phase_1_main,-0.003527738820854439,False
building_11,freezer,phase_1_freezer,phase_2_main,0.010754636996251652,True
building_11,freezer,phase_1_freezer,phase_3_main,-0.001312503154282266,False
building_11,washing_machine,phase_1_washing_machine,phase_1_main,-0.00015616853734741376,False
building_11,washing_machine,phase_1_washing_machine,phase_2_main,0.07587409748689576,True
building_11,washing_machine,phase_1_washing_machine,phase_3_main,0.0001812148002045774,False
building_11,tumble_dryer,phase_1_tumble_dryer,phase_1_main,-0.005697976726397893,False
building_11,tumble_dryer,phase_1_tumble_dryer,phase_2_main,0.17081678702468256,True
building_11,tumble_dryer,phase_1_tumble_dryer,phase_3_main,-0.002118931018869665,False
building_11,fridge,phase_1_fridge,phase_1_main,0.06156196339379963,True
building_11,fridge,phase_1_fridge,phase_2_main,0.0004858618951990497,False
building_11,fridge,phase_1_fridge,phase_3_main,0.001525918341921359,False
building_12,dishwasher,phase_1_dishwasher,phase_3_main,0.001135660691209575,False
building_12,dishwasher,phase_1_dishwasher,phase_2_main,0.04045650766173436,True
building_12,freezer,phase_1_freezer,phase_1_main,-0.002005568169066408,False
building_12,freezer,phase_1_freezer,phase_2_main,-0.0015462277133277253,False
building_12,freezer,phase_1_freezer,phase_3_main,0.041016750505101326,True
building_12,washing_machine,phase_1_washing_machine,phase_1_main,0.15545690056641728,True
building_12,washing_machine,phase_1_washing_machine,phase_2_main,0.00292747637729493,False
building_12,washing_machine,phase_1_washing_machine,phase_3_main,-0.0015909651572450815,False
